Algorithm,Robot_Count,Comm_per_Robot,Iter_per_Robot,Time_per_Robot_s
CBS,5,40.0,13.0,0.13999999999999999
CBS,6,40.0,9.0,0.24166666666666667
CBS,7,48.285714285714285,10.0,0.39142857142857146
CBS,8,51.75,8.0,0.575
CBS,9,65.77777777777777,8.88888888888889,0.7488888888888889
CBS,10,88.0,12.0,0.95
CBS,11,87.27272727272727,11.0,0.9618181818181818
CBS,12,88.75,11.0,1.0625
CBS,13,118.61538461538461,13.0,1.3023076923076924
CBS,14,87.07142857142857,10.0,0.9914285714285714
CBS,15,129.53333333333333,14.0,1.46
asapp,5,977.4,564.0,87.4664
asapp,6,1464.6666666666667,578.3333333333334,92.32900000000001
asapp,7,1433.0,581.4285714285714,95.43185714285714
asapp,8,1552.375,533.75,90.442375
asapp,9,1868.6666666666667,578.8888888888889,97.25377777777777
asapp,10,2125.1,578.0,98.7521
asapp,11,2308.5454545454545,570.9090909090909,97.53636363636365
asapp,12,2363.3333333333335,549.1666666666666,90.14333333333333
asapp,13,2575.4615384615386,560.0,91.37923076923077
asapp,14,2549.714285714286,565.0,92.56357142857144
dgs,5,880.0,110.0,2.5136399999999997
dgs,6,1493.3333333333333,106.66666666666667,9.012866666666666
dgs,7,1485.7142857142858,92.85714285714286,9.593257142857142
dgs,8,1706.25,81.25,9.708925
dgs,9,1950.0,72.22222222222223,9.717033333333333
dgs,10,2178.0,66.0,5.8555399999999995
dgs,11,2363.6363636363635,59.09090909090909,5.819154545454546
dgs,12,2545.8333333333335,54.166666666666664,5.26195
dgs,13,2741.5384615384614,50.76923076923077,5.884123076923077
dgs,14,2646.4285714285716,46.42857142857143,4.4192285714285715
dgs,15,2730.0,43.333333333333336,3.27242
geodesic-mesa,5,274.0,274.0,8.589279999999999
geodesic-mesa,6,416.6666666666667,416.6666666666667,33.804833333333335
geodesic-mesa,7,370.0,370.0,35.31442857142857
geodesic-mesa,8,450.0,450.0,50.388125
geodesic-mesa,9,515.5555555555555,515.5555555555555,59.83011111111111
geodesic-mesa,10,543.0,543.0,55.80499999999999
geodesic-mesa,11,577.2727272727273,577.2727272727273,56.43754545454545
geodesic-mesa,12,582.5,582.5,52.51383333333334
geodesic-mesa,13,597.6923076923077,597.6923076923077,50.433461538461536
geodesic-mesa,14,590.7142857142857,590.7142857142857,38.328714285714284
geodesic-mesa,15,588.6666666666666,588.6666666666666,37.3932
